Subject,Catalog Number,Title
PSC,409J,Feminist Theory
PSY,342,Forensic Psychology
PSY,467,Psychology of Gender
PUA,708,Organizational Behavior
RE,332,Real Estate Finance
RE,334,Real Estate Invest
SOC,404,Stat Meth Soc Sci
SOC,421,Classic Soc Theory
SOC,429,Globalization
SOC,445,Men in Society
SOC,459,Soc Dilemmas of Climate Chng
SOC,471,Race and Ethnic Relations
SOC,666,Soc of Medicine
SOC,674,Sociology Religion
SPTM,220,Intro to Sport Management
STA,691,Stat Scientists I
STAT,491,Stat Scientists I
SW,104,Perspectives in Aging
SW,471,Advcd Sem Spec Pbms
SW,671,Special Problems
SW,674,Grant Writing & Mgmt
SW,768,Supervision in Soc Work
SW,785,Advanced Policy
TCA,141,Trvl & Tourism I
TCA,210,Global Event Management
TCA,301,Event Proposal Process
TESL,751,Theory & Practice for English
ULD,752,Developing Teams
URST,423,Ethics in Urban Studies
WLC,198,Read Prof Fl Grad Stud
WMST,409J,Feminist Political Theory
ACC,405,Cost Mgt and Control
ACC,774,Law for Accountants II
ANTH,473,Anthropology of Violence
ANTH,673R,Anthropology of Violence
CEE,241,Statics
CHEM,108,Introduction to Chemistry
CIG,682,Reflective Practice
CIG,706,Mentor Strat Imprv Teach
CIL,604,Literacy Instr Yng Chldrn
CIS,513A,Teaching Secondary Art
CIS,553S,Tch Secondary Math
CIS,603,Sec Process and Instr
CIT,608,Integrating Tech Tchg Lrng
CIT,643,Designing Digital Education
CIT,647,Online Lrng Environments
COM,435,Quantitative Rsrch Methds
COM,497,Train and Dev Capst
CPE,400,Computer Comm Networks
CRJ,404,Crime Analysis
ECE,250,Orien Early Child
ECE,431,Tch Com Skl Yng Chl
ECE,454,Methods Ece II (Math/Sci)
ECE,456,Positive Discipline ECE
ECE,740,Early Language & Learning
ECG,600,Computer Comm Networks
EDEL,301,Elem Curr/Found Glb Tchg
EDEL,405,Curric & Assess Elem Ed
EDH,609,Leading Diverse Organizations
EDH,610,Capstone
EDH,626,Foundtns Student Affairs
EDH,707,Design/Critique Research
EDH,730,Institutional Assessment
EDRL,402,Lit for Young Adults
EDSC,453,Tch Secondry Math
EDSP,441,Char/Incl Strat W/Mod Dis
EDSP,462,Math Meth Mild Disab
EDW,733,Car Ed Curr Prg Dev
EDW,755,Prosem Workforce Ed
EDW,763,Readings- Ps Ed/Wlp/Lshp
EDWF,440,Tech Uses in Workforce Ed
EMHA,716,Hlth Care Fin Mgmt I/Hlth Acc
EMHA,721,Advanced Healthcare Finance
ENG,406B,Electronic Docs/Publish
ENG,407DX,Fundamentals Sci Writing
EOH,655,Active transport
EOH,701,Measurement in Inf Prev
EOH,713,Public Health Law
EOH,740,Environmental Health
EOH,744,Mixed Methods Research
EPY,708,Human Lrng & Dev
EPY,716,Evaluation Research Meth
EPY,722,Infer Stat Exp Dsn
EPY,723,Psychometrics I
ESP,717B,Emotional Disturbance
FAB,330,Restaurant Sustainability
FIN,708,Adv Corp Fin
FIN,710,Investment Management
FINQ,708,Corp Fin Theory Quant App
FINQ,710,Invest Theory Quant App
GAM,339,Protection Casino Assets
GAM,340,Gaming Device Mgt
HCA,402,Op Mgt for HCA Orgs
HCA,720,Info Systems in Hca
HED,705,Theor Fnd Hlth Prom
HED,716,Qualitative Methods
HED,762,Adv App Soc Beh Theory
HIST,260,Intro to Native Amer Hist
HIST,414A,US National Per 1815-1860
HIST,449C,Topics in Japanese Hist
HIST,453,Women in Politics
HIST,649C,Topics in Japanese Hist
HMD,100,Hospitality 1st Year Sem
HOA,701,The Hospitality Industry
HOA,734,Res Meth for Hosp
HOA,740,Marketing Systems
HOA,746,Contemp Marketing Hosp
HON,112,Explo Amer Politics
JOUR,333,Intro Inter Media Design
JOUR,380,Women and Media
JOUR,408,Media Criticism
KIN,458,Org Admin Ath Prog
KIN,745,Human Energy Metabolism
KIN,750,Research Methods in KIN & NUTR
KIN,755,Research on Phys Act Behavior
KIN,765,Neurophysiology of Movement
LDE,202,Leadership and Ethics
LDE,312,Leadership & Relationships
MATH,181,Calculus I
MBA,785,Global Business
ME,402,Comput Methods for Engrs
ME,455,Fund Nuclear Engr
ME,602,Comput Methods for Engrs
ME,655,Fund Nuclear Engr
ME,740,Adv Dynamics
ME,754,Intro to Nuclear Crit Safety
ME,760,Rad Waste Management
MGT,304,Lean Start-Ups
MGT,475,Sem Hum Resourc Mgt
MHA,605,Fin Analysis Service Indust
MHA,606,Hospitality Revenue Management
MHA,620,Prin & Prac Fdsv Mt
MHA,621,"Gaming, Govt & Comm Relations"
MHA,623,Internet and Mobile Gaming
MHA,638,Database Mktg for Hosp
MHA,639,Casino Marketing
MHA,645,Human Dyn & Org Leadership
MKT,725,Global Consumer Behavior
MKT,757,Strat Database Market
MUS,650,Ed Measurement in Music
NURS,505,Found Pat Cent Care
NURS,520,Patho Pharm Nurs
NURS,701,Diag Reas & Clin Decision FNP
NURS,703,Advanced Health Assessment
NURS,704,Adv Patho and Genetics I
NURS,706,Nursing Theory and Research
NURS,708,Analysis & Econ Health Systems
NURS,709,Teach & Learn in Nursing Ed
NURS,716,Population Health
NURS,729R,Evidence for Healthcare
NURS,737,Leadership in Organizations
NURS,738,Financial Theory & Management
NURS,749,"Research, Scholar Seminar"
NURS,752,NP Business and Roles
NURS,760R,FNP Geriatric and Chronic Ill
NURS,761,Clinical Synthesis
NURS,770,Knowledge Dvlpmnt Nur
NURS,775,Stat Methods Nurs I
NURS,780,Quant Methods in Nursing
NURS,781,Qual Research Meth
NURS,798,Indepe Study in Nur
NURS,799,PMHNP III
NUTR,223,Principles of Nutrition
NUTR,271,Intro to Nutr/Dietetics
NUTR,315,Field Ex in Nutr
NUTR,370,Nutrition Life Cycle
NUTR,405,Advanced Sports Nutrition
NUTR,426,Med Nutr Therapy I
NUTR,451,Nutrition and Metabolism
NUTR,470,Community Nutrition
NUTR,605,Advanced Sports Nutrition
NUTR,626,Medical Nutrition Therapy 1
NUTR,651,Nutrition and Metabolism
NUTR,652,Adv Nutr
NUTR,700,Sp Tpcs Nutr Sci
NUTR,720,Life Mod Chronic Disease
NUTR,753,Exptl. Tech. Nutr. Metab.
PAF,704,Public Affairs as a Profession
PBH,275,Injury Prevention and Control
PBH,300,Public Hlth Pre-Capstone
PBH,455,Active transport
PED,428,Methods Teaching Sports
PHIL,622,Advanced Logic
PHYS,195,Engineering Physics A
PSC,401J,Women in Politics
PSC,403O,US Public Policy
PSC,405D,US foreign Policy
PSC,405V,Intl & US Immigration Pol
PSY,412,Motivation and Emotion
PSY,438,Child Behavior Disorders
SOC,629,Globalization
SW,701,Social Welfare Policy I
SW,716,Swk Research I
SW,720,Fdn Prac I
SW,740,Dir Prac I
SW,747,Dsm:Assess & Diagnosis
SW,760,Mcp I
TCA,345,The National Parks
ULD,731,Urban Development
ULD,737,Fm Analytics to Action: Data
ULD,750,Urban Leadership
URST,400,Public Orgs Urban Setting
URST,410,Envir Pol Urban Setting
URST,427,Data Vis for Urb Studies
URST,496,Topics Urban Studies
WMST,401J,Women in Politics
HIST,449A,Hist of Japan to 1800
HIST,649A,Hist of Japan to 1800
HON,102,Hon Critical Think
HON,420,Special Topics Seminars
